task_id,task_type,device,modeled_compute_us
patch_embedding,patch_embedding,GPU,120.605504
token_embedding,token_and_position_embedding,GPU,41.311040
block_00_norm1,layer_norm,GPU,53.414720
block_00_qkv,linear_qkv,GPU,353.585984
block_00_attention,self_attention,GPU,124.221248
block_00_proj,linear_projection,GPU,121.195328
block_00_residual1,residual_add,GPU,41.311040
block_00_norm2,layer_norm,GPU,53.414720
block_00_ffn_island,fused_ffn_island,GPU,1041.392064
block_00_residual2,residual_add,GPU,41.311040
block_01_norm1,layer_norm,GPU,53.414720
block_01_qkv,linear_qkv,GPU,353.585984
block_01_attention,self_attention,GPU,124.221248
block_01_proj,linear_projection,GPU,121.195328
block_01_residual1,residual_add,GPU,41.311040
block_01_norm2,layer_norm,GPU,53.414720
block_01_ffn_island,fused_ffn_island,GPU,1041.392064
block_01_residual2,residual_add,GPU,41.311040
block_02_norm1,layer_norm,GPU,53.414720
block_02_qkv,linear_qkv,GPU,353.585984
block_02_attention,self_attention,GPU,124.221248
block_02_proj,linear_projection,GPU,121.195328
block_02_residual1,residual_add,GPU,41.311040
block_02_norm2,layer_norm,GPU,53.414720
block_02_ffn_island,fused_ffn_island,GPU,1041.392064
block_02_residual2,residual_add,GPU,41.311040
block_03_norm1,layer_norm,GPU,53.414720
block_03_qkv,linear_qkv,GPU,353.585984
block_03_attention,self_attention,GPU,124.221248
block_03_proj,linear_projection,GPU,121.195328
block_03_residual1,residual_add,GPU,41.311040
block_03_norm2,layer_norm,GPU,53.414720
block_03_ffn_island,fused_ffn_island,GPU,1041.392064
block_03_residual2,residual_add,GPU,41.311040
block_04_norm1,layer_norm,GPU,53.414720
block_04_qkv,linear_qkv,GPU,353.585984
block_04_attention,self_attention,GPU,124.221248
block_04_proj,linear_projection,GPU,121.195328
block_04_residual1,residual_add,GPU,41.311040
block_04_norm2,layer_norm,GPU,53.414720
block_04_ffn_island,fused_ffn_island,GPU,1041.392064
block_04_residual2,residual_add,GPU,41.311040
block_05_norm1,layer_norm,GPU,53.414720
block_05_qkv,linear_qkv,GPU,353.585984
block_05_attention,self_attention,GPU,124.221248
block_05_proj,linear_projection,GPU,121.195328
block_05_residual1,residual_add,GPU,41.311040
block_05_norm2,layer_norm,GPU,53.414720
block_05_ffn_island,fused_ffn_island,GPU,1041.392064
block_05_residual2,residual_add,GPU,41.311040
block_06_norm1,layer_norm,GPU,53.414720
block_06_qkv,linear_qkv,GPU,353.585984
block_06_attention,self_attention,GPU,124.221248
block_06_proj,linear_projection,GPU,121.195328
block_06_residual1,residual_add,GPU,41.311040
block_06_norm2,layer_norm,GPU,53.414720
block_06_ffn_island,fused_ffn_island,GPU,1041.392064
block_06_residual2,residual_add,GPU,41.311040
block_07_norm1,layer_norm,GPU,53.414720
block_07_qkv,linear_qkv,GPU,353.585984
block_07_attention,self_attention,GPU,124.221248
block_07_proj,linear_projection,GPU,121.195328
block_07_residual1,residual_add,GPU,41.311040
block_07_norm2,layer_norm,GPU,53.414720
block_07_ffn_island,fused_ffn_island,GPU,1041.392064
block_07_residual2,residual_add,GPU,41.311040
block_08_norm1,layer_norm,GPU,53.414720
block_08_qkv,linear_qkv,GPU,353.585984
block_08_attention,self_attention,GPU,124.221248
block_08_proj,linear_projection,GPU,121.195328
block_08_residual1,residual_add,GPU,41.311040
block_08_norm2,layer_norm,GPU,53.414720
block_08_ffn_island,fused_ffn_island,GPU,1041.392064
block_08_residual2,residual_add,GPU,41.311040
block_09_norm1,layer_norm,GPU,53.414720
block_09_qkv,linear_qkv,GPU,353.585984
block_09_attention,self_attention,GPU,124.221248
block_09_proj,linear_projection,GPU,121.195328
block_09_residual1,residual_add,GPU,41.311040
block_09_norm2,layer_norm,GPU,53.414720
block_09_ffn_island,fused_ffn_island,GPU,1041.392064
block_09_residual2,residual_add,GPU,41.311040
block_10_norm1,layer_norm,GPU,53.414720
block_10_qkv,linear_qkv,GPU,353.585984
block_10_attention,self_attention,GPU,124.221248
block_10_proj,linear_projection,GPU,121.195328
block_10_residual1,residual_add,GPU,41.311040
block_10_norm2,layer_norm,GPU,53.414720
block_10_ffn_island,fused_ffn_island,GPU,1041.392064
block_10_residual2,residual_add,GPU,41.311040
block_11_norm1,layer_norm,GPU,53.414720
block_11_qkv,linear_qkv,GPU,353.585984
block_11_attention,self_attention,GPU,124.221248
block_11_proj,linear_projection,GPU,121.195328
block_11_residual1,residual_add,GPU,41.311040
block_11_norm2,layer_norm,GPU,53.414720
block_11_ffn_island,fused_ffn_island,GPU,1041.392064
block_11_residual2,residual_add,GPU,41.311040
final_norm,layer_norm,GPU,53.414720
class_token_select,class_token_select,GPU,5.122880
classifier,linear_classifier,GPU,5.768000
